concentration	biomass	fnutrient
0.05	0	NH4
0.105	0	NH4
0.105	0	NH4
0.79	0.5	NH4
0.21	0.5	NH4
2.1	0.5	NH4
1.159	1	NH4
1.001	1	NH4
0.5227	1	NH4
1.159	1.5	NH4
0.92	1.5	NH4
1.52	1.5	NH4
1.106	2	NH4
3.2	2	NH4
3.74	2	NH4
2.49	0	NO3
1.185	0	NO3
3.825	0	NO3
3.045	0.5	NO3
2.19	0.5	NO3
3.6	0.5	NO3
2.475	1	NO3
1.995	1	NO3
1.425	1	NO3
1.56	1.5	NO3
1.305	1.5	NO3
2.4	1.5	NO3
1.95	2	NO3
1.815	2	NO3
1.05	2	NO3
0.122	0	PO3
0.094	0	PO3
0.1692	0	PO3
0.5452	0.5	PO3
0.3384	0.5	PO3
1.2972	0.5	PO3
0.8554	1	PO3
0.4324	1	PO3
0.6804	1	PO3
0.6862	1.5	PO3
0.4606	1.5	PO3
0.8178	1.5	PO3
0.675	2	PO3
0.4042	2	PO3
1.3724	2	PO3
