abund rainfall location year
169 15.16 Maui 1956
190 15.48 Maui 1957
159 16.26 Maui 1958
211 21.25 Maui 1959
232 10.94 Maui 1960
155 19.93 Maui 1961
282 12.63 Maui 1962
170 20.09 Maui 1963
164 10.02 Maui 1964
162 30.91 Maui 1965
253 12.49 Maui 1966
188 32.7 Maui 1967
226 18.4 Maui 1968
171 25.21 Maui 1969
207 18.61 Maui 1970
189 20.13 Maui 1971
274 15.71 Maui 1972
352 10.27 Maui 1973
245 18.68 Maui 1974
340 13.74 Maui 1975
335 12.83 Maui 1976
302 11.5 Maui 1977
159 19.15 Maui 1978
154 26.82 Maui 1979
238 27.87 Maui 1980
410 12.85 Maui 1981
210 34.04 Maui 1982
296 13.05 Maui 1983
339 8.56 Maui 1984
435 20 Maui 1985
298 18.39 Maui 1986
243 24.31 Maui 1987
296 26.79 Maui 1988
215 40.63 Maui 1989
172 35.2 Maui 1990
197 16.09 Maui 1991
366 16.98 Maui 1992
284 12.69 Maui 1993
212 13.93 Maui 1994
191 13.45 Maui 1995
297 31 Maui 1996
262 23.08 Maui 1997
424 6.76 Maui 1998
364 9.66 Maui 1999
526 9.72 Maui 2000
337 10.53 Maui 2001
297 15.07 Maui 2002
258 13.83 Maui 2003
163 15.16 Oahu 1956
272 15.48 Oahu 1957
549 16.26 Oahu 1958
533 21.25 Oahu 1959
256 10.94 Oahu 1960
134 19.93 Oahu 1961
175 12.63 Oahu 1962
356 20.09 Oahu 1963
485 10.02 Oahu 1964
184 30.91 Oahu 1965
242 12.49 Oahu 1966
209 32.7 Oahu 1967
175 18.4 Oahu 1968
162 25.21 Oahu 1969
322 18.61 Oahu 1970
362 20.13 Oahu 1971
342 15.71 Oahu 1972
509 10.27 Oahu 1973
107 18.68 Oahu 1974
110 13.74 Oahu 1975
249 12.83 Oahu 1976
738 11.5 Oahu 1977
396 19.15 Oahu 1978
211 26.82 Oahu 1979
384 27.87 Oahu 1980
418 12.85 Oahu 1981
357 34.04 Oahu 1982
231 13.05 Oahu 1983
621 8.56 Oahu 1984
322 20 Oahu 1985
484 18.39 Oahu 1986
821 24.31 Oahu 1987
478 26.79 Oahu 1988
740 40.63 Oahu 1989
515 35.2 Oahu 1990
371 16.09 Oahu 1991
562 16.98 Oahu 1992
393 12.69 Oahu 1993
580 13.93 Oahu 1994
598 13.45 Oahu 1995
530 31 Oahu 1996
558 23.08 Oahu 1997
502 6.76 Oahu 1998
442 9.66 Oahu 1999
499 9.72 Oahu 2000
620 10.53 Oahu 2001
692 15.07 Oahu 2002
240 13.83 Oahu 2003
