abund	rainfall	year	location
220	33.1	1956	Maui
151	12.5	1957	Maui
183	22.2	1958	Maui
161	11.8	1959	Maui
264	41.6	1960	Maui
192	15.6	1961	Maui
117	4.5	1962	Maui
239	40.1	1963	Maui
263	42.1	1964	Maui
128	7.6	1965	Maui
212	16	1966	Maui
227	28.8	1967	Maui
134	8.4	1968	Maui
199	32.1	1969	Maui
169	25.7	1970	Maui
103	12.3	1971	Maui
177	40.8	1972	Maui
151	33.4	1973	Maui
153	34.7	1974	Maui
58	4.6	1975	Maui
215	46.5	1976	Maui
189	39.2	1977	Maui
133	26.6	1978	Maui
124	21.2	1979	Maui
119	11.7	1980	Maui
184	31.5	1981	Maui
245	45.7	1982	Maui
249	46.8	1983	Maui
181	36.9	1984	Maui
128	23.3	1985	Maui
72	3.3	1986	Maui
215	41.7	1987	Maui
225	34.7	1988	Maui
266	42.9	1989	Maui
251	33	1990	Maui
201	22.5	1991	Maui
169	14.8	1992	Maui
248	42.6	1993	Maui
257	41.9	1994	Maui
172	16.8	1995	Maui
149	3.3	1996	Maui
153	20.6	1997	Maui
138	18.7	1998	Maui
102	4.1	1999	Maui
119	21.1	2000	Maui
189	37.5	2001	Maui
228	44.7	2002	Maui
117	14.8	2003	Maui
258	10.1	1956	Oahu
395	38.3	1957	Oahu
374	45	1958	Oahu
360	26.5	1959	Oahu
481	41.1	1960	Oahu
370	16.6	1961	Oahu
561	40.9	1962	Oahu
487	30.9	1963	Oahu
476	38.6	1964	Oahu
403	38.1	1965	Oahu
324	28.5	1966	Oahu
341	39.6	1967	Oahu
336	12.8	1968	Oahu
501	45.8	1969	Oahu
412	27	1970	Oahu
434	40.7	1971	Oahu
310	23.2	1972	Oahu
195	6.5	1973	Oahu
181	9.1	1974	Oahu
227	22.3	1975	Oahu
73	8.2	1976	Oahu
57	5.7	1977	Oahu
245	29.7	1978	Oahu
294	22	1979	Oahu
326	34.2	1980	Oahu
270	23.5	1981	Oahu
196	26.9	1982	Oahu
177	5.5	1983	Oahu
222	29.7	1984	Oahu
203	17.9	1985	Oahu
206	19.1	1986	Oahu
189	9	1987	Oahu
250	5.3	1988	Oahu
324	28.7	1989	Oahu
410	47.1	1990	Oahu
372	43.3	1991	Oahu
321	29	1992	Oahu
377	44.8	1993	Oahu
250	18.1	1994	Oahu
139	6.1	1995	Oahu
158	13.4	1996	Oahu
127	9	1997	Oahu
224	29.8	1998	Oahu
180	40	1999	Oahu
114	26.8	2000	Oahu
94	30.9	2001	Oahu
161	34.6	2002	Oahu
137	13	2003	Oahu
